product,product-href,price,cpu-type,socket
AMD A8-9600 Bristol Ridge Quad-Core 3.1 GHz Socket AM4 65W AD9600AGABBOX Desktop Processor Radeon R7,https://www.newegg.com/amd-a8-7th-gen-a8-9600/p/N82E16819113453,74,amd,am4
AMD RYZEN 7 1700X 8-Core 3.4 GHz (3.8 GHz Turbo) Socket AM4 95W YD170XBCAEWOF Desktop Processor,https://www.newegg.com/amd-ryzen-7-1700x/p/N82E16819113429,369,amd,am4
AMD Ryzen 5 2600 Pinnacle Ridge 6-Core 3.4 GHz Socket AM4 65W YD2600BBM6IAF Desktop Processor,https://www.newegg.com/amd-ryzen-5-2600/p/N82E16819113414,199,amd,am4
AMD A10-9700 Bristol Ridge Quad-Core 3.5 GHz Socket AM4 65W AD9700AGABBOX Desktop Processor Radeon R7,https://www.newegg.com/amd-a10-7th-gen-a10-9700/p/N82E16819113451,109,amd,am4
AMD Athlon 3000G 3.5GHz Dual-Core Unlocked OC AM4 Processor with Vega 3 Graphics,https://www.newegg.com/amd-athlon-3000g/p/274-000M-001B8,65,amd,am4
AMD RYZEN 5 1600X 6-Core 3.6 GHz (4.0 GHz Turbo) Socket AM4 95W YD160XBCAEWOF Desktop Processor,https://www.newegg.com/amd-ryzen-5-1600x/p/N82E16819113434,245,amd,am4
AMD RYZEN 5 1600 6-Core 3.2 GHz (3.6 GHz Turbo) Socket AM4 65W YD1600BBAEBOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-1600/p/N82E16819113435,229,amd,am4
AMD Ryzen 5 2400G Raven Ridge Quad-Core 3.6 GHz Socket AM4 65W YD2400C5M4MFB Desktop Processor Radeon RX Vega 11 Graphics,https://www.newegg.com/amd-ryzen-5-2400g/p/N82E16819113513,229,amd,am4
AMD A6-9500 Dual-Core 3.5 GHz Socket AM4 65W AD9500AGABBOX Desktop Processor Radeon R5,https://www.newegg.com/amd-a6-7th-gen-a6-9500/p/N82E16819113454,58,amd,am4
AMD RYZEN 5 3600X 6-Core 3.8 GHz (4.4 GHz Max Boost) Socket AM4 95W 100-100000022BOX Desktop Processor,https://www.newegg.com/amd-ryzen-5-3600x/p/N82E16819113568,219,amd,am4
AMD A6-9500E Bristol Ridge Dual-Core 3.0 GHz Socket AM4 35W AD9500AHABBOX Desktop Processor Radeon R5,https://www.newegg.com/amd-a6-7th-gen-a6-9500e/p/N82E16819113455,81,amd,am4
