product,product-href,price,cpu-type,socket
Intel Core i7-4770T Haswell Quad-Core 2.5GHz (3.7GHz Turbo) LGA 1150 45W CM8064601465902 Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i7-4th-gen-core-i7-4770t/p/N82E16819117386,772,intel,lga-1150
Intel Core i3-4160T Haswell Dual-Core 3.1 GHz LGA 1150 35W SR1PH Desktop Processor Intel HD Graphics 4400,https://www.newegg.com/intel-core-i3-4th-gen-core-i3-4160t/p/N82E16819117807,257,intel,lga-1150
Intel Core i7-4771 Haswell Quad-Core 3.5GHz (3.9GHz Turbo) LGA 1150 84W BX80646I74771 Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i7-4th-gen-core-i7-4771/p/N82E16819116941,null,intel,lga-1150
Intel Core i7-4790K  Devil's Canyon Quad-Core 4.0 GHz LGA 1150 88W BXF80646I74790K Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i7-4th-gen-i7-4790k/p/N82E16819117547,347,intel,lga-1150
Intel Core i3-4170 Haswell Dual-Core 3.7 GHz LGA 1150 54W BX80646I34170 Desktop Processor Intel HD Graphics 4400,https://www.newegg.com/intel-core-i3-4th-gen-core-i3-4170/p/N82E16819117543,134,intel,lga-1150
Intel Core i7-4790 Haswell Quad-Core 3.6 GHz LGA 1150 84W BX80646I74790 Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i7-4th-gen-core-i7-4790/p/274-000A-01K66,300,intel,lga-1150
Intel Pentium G3240 Haswell Dual-Core 3.1 GHz LGA 1150 53W BX80646G3240 Desktop Processor Intel HD Graphics,https://www.newegg.com/intel-pentium-g3240/p/N82E16819116998,100,intel,lga-1150
Intel Pentium G3260 Haswell Dual-Core 3.3 GHz LGA 1150 BX80646G3260 Desktop Processor,https://www.newegg.com/intel-pentium-g3260/p/N82E16819117545,99,intel,lga-1150
Intel Pentium G3220 Haswell Dual-Core 3.0 GHz LGA 1150 54W BX80646G3220 Desktop Processor Intel HD Graphics,https://www.newegg.com/intel-pentium-dual-core-pentium-g3220/p/N82E16819116950,126,intel,lga-1150
Intel Core i7-4790 Haswell Quad-Core 3.6 GHz LGA 1150 84W BX80646I74790 Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i7-4th-gen-core-i7-4790/p/N82E16819116987,300,intel,lga-1150
Intel Core i3-4340 Haswell Dual-Core 3.6 GHz LGA 1150 54W BX80646I34340 Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i3-4th-gen-core-i3-4340/p/N82E16819116944,77,intel,lga-1150
Intel Core i7-4770 Haswell Quad-Core 3.4 GHz LGA 1150 84W SR149 Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i7-4th-gen-core-i7-4770/p/N82E16819117813,324,intel,lga-1150
Intel Core i7-5775C Broadwell Quad-Core 3.3GHz  LGA 1150 65W  BX80658I75775C Desktop Processor,https://www.newegg.com/intel-core-i7-5th-gen-core-i7-5775c/p/N82E16819117553,584,intel,lga-1150
Intel Core i5-4570T Haswell Dual-Core 2.9 GHz LGA 1150 35W BX80646I54570T Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i5-4th-gen-core-i5-4570t/p/N82E16819117501,142,intel,lga-1150
Intel Core i3-4160 Haswell Dual-Core 3.6 GHz LGA 1150 54W BX80646I34160 Desktop Processor Intel HD Graphics 4400,https://www.newegg.com/intel-core-i3-4th-gen-core-i3-4160/p/N82E16819117447,155,intel,lga-1150
Intel Core i5-4690K Devil's Canyon Quad-Core 3.5 GHz LGA 1150 88W BX80646I54690K Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i5-4th-gen-core-i5-4690k/p/N82E16819117372,178,intel,lga-1150
Intel Pentium G3460 Haswell Dual-Core 3.5 GHz LGA 1150 53W BX80646G3460 Desktop Processor Intel HD Graphics,https://www.newegg.com/intel-pentium-g3460/p/N82E16819117448,175,intel,lga-1150
Intel Pentium G3258 Haswell Dual-Core 3.2 GHz LGA 1150 53W BX80646G3258 Desktop Processor Intel HD Graphics,https://www.newegg.com/intel-pentium-g3258/p/N82E16819117374,64,intel,lga-1150
Intel Core i7-4770 Haswell Quad-Core 3.4 GHz LGA 1150 84W BX80646I74770 Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i7-4th-gen-core-i7-4770/p/N82E16819116966,350,intel,lga-1150
Intel Pentium G3220T Haswell Dual-Core 2.6 GHz LGA 1150 35W G3220T SR1CL Desktop Processor Intel HD Graphics,https://www.newegg.com/intel-pentium-dual-core-pentium-g3220t/p/N82E16819117618,64,intel,lga-1150
Intel Core i5-4430S Haswell Quad-Core 2.7 GHz LGA 1150 65W SR14M Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i5-4th-gen-core-i5-4430s/p/N82E16819117809,207,intel,lga-1150
Intel Core i5-4670 Haswell Quad-Core 3.4 GHz LGA 1150 84W BX80646I54670 Desktop Processor Intel HD Graphics,https://www.newegg.com/intel-core-i5-4th-gen-core-i5-4670/p/N82E16819116898,230,intel,lga-1150
Intel Core i7-4790 Haswell Quad-Core 3.6 GHz LGA 1150 84W CM8064601560113 Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i7-4th-gen-core-i7-4790/p/N82E16819117653,269,intel,lga-1150
Intel Core i7-4770K Haswell Quad-Core 3.5 GHz LGA 1150 84W CM8064601464206 Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i7-4th-gen-core-i7-4770k/p/N82E16819117417,265,intel,lga-1150
Intel G3470 Haswell Dual-Core 3.6 GHz LGA 1150 BX80646G3470 Desktop Processor,https://www.newegg.com/intel-pentium-g3470-3mb/p/N82E16819117544,59,intel,lga-1150
Intel Celeron G1840 Haswell Dual-Core 2.8 GHz LGA 1150 53W BX80646G1840 Desktop Processor Intel HD Graphics,https://www.newegg.com/intel-celeron-g1840/p/N82E16819117301,77,intel,lga-1150
Intel Core i5-4690S Haswell Quad-Core 3.2 GHz LGA 1150 65W BX80646I54690S Desktop Processor Intel HD Graphics 4600,https://www.newegg.com/intel-core-i5-4th-gen-core-i5-4690s/p/N82E16819116990,129,intel,lga-1150
Intel Pentium G3258 Haswell Dual-Core 3.2 GHz LGA 1150 CM8064601482573 Desktop Processor,https://www.newegg.com/intel-pentium-g3258/p/N82E16819117375,99,intel,lga-1150
