product,product-href,price,cpu-type,socket
Intel Core i5-10400 Comet Lake 6-Core 2.9 GHz LGA 1200 65W BX8070110400 Desktop Processor Intel UHD Graphics 630,https://www.newegg.com/intel-core-i5-10400-core-i5-10th-gen/p/N82E16819118135,182,intel,lga-1200
Intel Core i5-10600K Comet Lake 6-Core 4.1 GHz LGA 1200 125W BX8070110600K Desktop Processor Intel UHD Graphics 630,https://www.newegg.com/intel-core-i5-10600k-core-i5-10th-gen/p/N82E16819118124?&quicklink=true,289,intel,lga-1200
Intel Core i9-10900K 10-Core 3.7 GHz LGA 1200 125W BX8070110900K Desktop Processor Intel UHD Graphics 630,https://www.newegg.com/intel-core-i9-10900k-core-i9-10th-gen/p/N82E16819118122,549,intel,lga-1200
Intel Core i7-10700 Comet Lake 8-Core 2.9 GHz LGA 1200 65W BX8070110700 Desktop Processor Intel UHD Graphics 630,https://www.newegg.com/intel-core-i7-10700-core-i7-10th-gen/p/N82E16819118126?&quicklink=true,319,intel,lga-1200
Intel Core i5-10500 6-Core 3.1 GHz LGA 1200 65W BX8070110500 Desktop Processor Intel UHD Graphics 630,https://www.newegg.com/intel-core-i5-10500-core-i5-10th-gen/p/N82E16819118134,233,intel,lga-1200
Intel Core i5-10500 6-Core 3.1 GHz LGA 1200 65W BX8070110500 Desktop Processor Intel UHD Graphics 630,https://www.newegg.com/intel-core-i5-10500-core-i5-10th-gen/p/N82E16819118148,250,intel,lga-1200
Intel Core i5-10600 6-Core 3.3 GHz LGA 1200 65W BX8070110600 Desktop Processor Intel UHD Graphics 630,https://www.newegg.com/intel-core-i5-10600-core-i5-10th-gen/p/N82E16819118133,287,intel,lga-1200
Intel Celeron G5900 Dual-Core 3.4 GHz LGA 1200 58W BX80701G5900 Desktop Processor Intel UHD Graphics 610,https://www.newegg.com/intel-celeron-g5900/p/N82E16819118143,48,intel,lga-1200
Intel Pentium Gold G6400 Dual-Core 4.0 GHz LGA 1200 58W BX80701G6400 Desktop Processor Intel UHD Graphics 610,https://www.newegg.com/intel-pentium-gold-g6400/p/N82E16819118141,70,intel,lga-1200
Intel Core i5-10400F 6-Core 2.9 GHz LGA 1200 65W BX8070110400F Desktop Processor,https://www.newegg.com/intel-core-i5-10400f-core-i5-10th-gen/p/N82E16819118132,218,intel,lga-1200
Intel Core i3-10300 Comet Lake Quad-Core 3.7 GHz LGA 1200 65W CM8070104291109 Desktop Processor Intel UHD Graphics 630 - OEM,https://www.newegg.com/intel-core-i3-10300-core-i3-10th-gen/p/N82E16819118164,157,intel,lga-1200
Intel Core i3-10300 Quad-Core 3.7 GHz LGA 1200 65W BX8070110300 Desktop Processor Intel UHD Graphics 630,https://www.newegg.com/intel-core-i3-10300-core-i3-10th-gen/p/N82E16819118137,174,intel,lga-1200
Intel Core i9-10900 Comet Lake 10-Core 2.8 GHz LGA 1200 65W BX8070110900 Desktop Processor Intel UHD Graphics 630,https://www.newegg.com/intel-core-i9-10900-core-i9-10th-gen/p/N82E16819118125,479,intel,lga-1200
Intel Core i3-10100 Comet Lake Quad-Core 3.6 GHz LGA 1200 65W CM8070104291317 Desktop Processor Intel UHD Graphics 630 - OEM,https://www.newegg.com/intel-core-i3-10100-core-i3-10th-gen/p/N82E16819118165,135,intel,lga-1200
Intel Core i3-10320 Comet Lake Quad-Core 3.8 GHz LGA 1200 65W CM8070104291009 Desktop Processor Intel UHD Graphics 630 - OEM,https://www.newegg.com/intel-core-i3-10320-core-i3-10th-gen/p/N82E16819118163,171,intel,lga-1200
Intel Celeron G5920 Dual-Core 3.5 GHz LGA 1200 58W BX80701G5920 Desktop Processor Intel UHD Graphics 610,https://www.newegg.com/intel-celeron-g5920/p/N82E16819118142,64,intel,lga-1200
Intel Celeron G5920 Comet Lake Dual-Core 3.5 GHz LGA 1200 58W CM8070104292010 Desktop Processor Intel UHD Graphics 610 - OEM,https://www.newegg.com/intel-celeron-g5920/p/N82E16819118169,62,intel,lga-1200
Intel Core i3-10100 Comet Lake Quad-Core 3.6 GHz LGA 1200 65W BX8070110100 Desktop Processor Intel UHD Graphics 630,https://www.newegg.com/intel-core-i3-10100-core-i3-10th-gen/p/N82E16819118138,129,intel,lga-1200
Intel Pentium Gold G6400 Comet Lake Dual-Core 4.0 GHz LGA 1200 58W CM8070104291810 Desktop Processor Intel UHD Graphics 610 - OEM,https://www.newegg.com/intel-pentium-gold-g6400/p/N82E16819118168,74,intel,lga-1200
