product,product-href,price
iStarUSA Case S-35EX Compact Tower U 3x5.25-inch Bay USB 1U Flex Power Supply Mini-ITX Brown Box,https://www.amazon.com/iStarUSA-S-35EX-Compact-3x5-25-inch-Mini-ITX/dp/B017S6RIU8/ref=sr_1_2121?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2121&ts_id=572238,83
ATX Mid Tower WU-28 Gaming Computer Case， Tempered Glass Side Panel Optimized for High Airflow and Silent Computing with Moduvent Technology - 2X 147mm Silent Fans Included,https://www.amazon.com/Computer-Tempered-Optimized-Computing-Technology/dp/B0878ZFXX2/ref=sr_1_2338?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2338&ts_id=572238,139
ATX Mid Tower AT-100 Gaming Computer Case， Tempered Glass Side Panel Optimized for High Airflow and Silent Computing with Moduvent Technology - 2X 219mm Silent Fans Included,https://www.amazon.com/AT-100-Computer-Optimized-Computing-Technology/dp/B08798S7L7/ref=sr_1_2267?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2267&ts_id=572238,99
"ATX Mid Tower Computer ZY-59 PC Computer Case with Tempered Glass, Pre-Installed RGB Fan with 10 Backlit Modes and LED Light Strip, 240mm AIO and 378mm VGA Support, Bottom Mount PSU",https://www.amazon.com/Computer-Tempered-Pre-Installed-Backlit-Support/dp/B0878RK1HY/ref=sr_1_2257?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2257&ts_id=572238,99
ATX Mid Tower YS-32 Gaming Computer Case， Tempered Glass Side Panel Optimized for High Airflow and Silent Computing with Moduvent Technology - 2X 151mm Silent Fans Included,https://www.amazon.com/Computer-Tempered-Optimized-Computing-Technology/dp/B0878WMFCD/ref=sr_1_2379?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2379&ts_id=572238,130
ATX Mid Tower AT-41 Gaming Computer Case， Tempered Glass Side Panel Optimized for High Airflow and Silent Computing with Moduvent Technology - 2X 160mm Silent Fans Included,https://www.amazon.com/AT-41-Computer-Optimized-Computing-Technology/dp/B08791RBJF/ref=sr_1_2358?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2358&ts_id=572238,139
"WSNBB Gaming Case, Mid-Tower ATX/M-ATX/ITX PC Gaming Computer Case,Tempered Glass On Both Sides,USB 3.0,with 3 Fans,for Desktop PC Computer (Color : Blue)",https://www.amazon.com/WSNBB-Mid-Tower-Computer-Tempered-Desktop/dp/B089K4VCWW/ref=sr_1_2116?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2116&ts_id=572238,154
Morex T3500 Mini-ITX Case w/60W DC-DC Power Board and A/C Adapter,https://www.amazon.com/Morex-Fanless-Mini-ITX-Enclsoure-Adapter/dp/B01I2GHHZE/ref=sr_1_2124?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2124&ts_id=572238,59
ATX Mid Tower WU-09 Gaming Computer Case， Tempered Glass Side Panel Optimized for High Airflow and Silent Computing with Moduvent Technology - 2X 128mm Silent Fans Included,https://www.amazon.com/Computer-Tempered-Optimized-Computing-Technology/dp/B0878YGKFM/ref=sr_1_2215?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2215&ts_id=572238,97
ATX Mid Tower YS-39 Gaming Computer Case， Tempered Glass Side Panel Optimized for High Airflow and Silent Computing with Moduvent Technology - 2X 158mm Silent Fans Included,https://www.amazon.com/Computer-Tempered-Optimized-Computing-Technology/dp/B0879119FK/ref=sr_1_2363?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2363&ts_id=572238,135
"Gaming Case, Mid-Tower ATX/M-ATX/ITX PC Gaming Computer Case,Tempered Glass On Both Sides,USB 3.0,with Color Fan,for Desktop PC Computer (Color : White, Size : 4fan)",https://www.amazon.com/Gaming-Mid-Tower-Computer-Tempered-Desktop/dp/B089KGLMRV/ref=sr_1_2110?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2110&ts_id=572238,171
Retroflag NESPi Case+ Plus Functional Power Button with Safe Shutdown & Cooling Fan & Heatsinks & Flannel Bag for RetroPie Raspberry Pi 3/2 Model B & Raspberry Pi 3B+ (NESPI Case+),https://www.amazon.com/Retroflag-Functional-Shutdown-Heatsinks-Raspberry/dp/B07872ZDCS/ref=sr_1_2180?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2180&ts_id=572238,22
"WSNBB Gaming Case, Mid-Tower E-ATX/ATX/M-ATX/Mini-ITX PC Gaming Computer Case,Tempered Glass Side Panel,USB 3.0,with Fan and RGB Light Board,for Desktop PC Computer (Color : A, Size : 6 Fan)",https://www.amazon.com/WSNBB-Mid-Tower-Mini-ITX-Computer-Tempered/dp/B08B3VHWB2/ref=sr_1_2072?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2072&ts_id=572238,208
"Mini Tower Computer Case TT-58 PC Computer Case with Tempered Glass, Pre-Installed RGB Fan with 10 Backlit Modes and LED Light Strip, 240mm AIO and 377mm VGA Support, Bottom Mount PSU",https://www.amazon.com/Computer-TT-58-Tempered-Pre-Installed-Backlit/dp/B0878X4B2Y/ref=sr_1_2237?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2237&ts_id=572238,99
"ATX Mid Tower Computer ZY-67 PC Computer Case with Tempered Glass, Pre-Installed RGB Fan with 10 Backlit Modes and LED Light Strip, 240mm AIO and 386mm VGA Support, Bottom Mount PSU",https://www.amazon.com/Computer-Tempered-Pre-Installed-Backlit-Support/dp/B0878SVVLK/ref=sr_1_2308?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2308&ts_id=572238,99
"GRAPHICS & MORE Shih Tzu Dog Black White on Blue Computer Case Modding Badge Emblem Resin-Topped 1"" Stickers - Set of 4",https://www.amazon.com/Graphics-More-Computer-Resin-Topped-Stickers/dp/B07F2Y1CGN/ref=sr_1_2163?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Cases&qid=1594438079&s=pc&sr=1-2163&ts_id=572238,5
