product,product-href,price
MSI GeForce GTX 1050 Ti DirectX 12 GTX 1050 Ti GAMING 4G 4GB 128-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/msi-geforce-gtx-1050-ti-gtx-1050-ti-gaming-4g/p/N82E16814137060,239
MSI GeForce GTX 1070 Ti DirectX 12 GTX 1070 Ti DUKE 8G 8GB 256-Bit GDDR5 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,https://www.newegg.com/msi-geforce-gtx-1070-ti-gtx-1070-ti-duke-8g/p/N82E16814137258,685
MSI Radeon RX 5600 XT DirectX 12 RX 5600 XT MECH OC 6GB 192-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,https://www.newegg.com/msi-radeon-rx-5600-xt-rx-5600-xt-mech-oc/p/N82E16814137498,289
MSI GeForce RTX 2070 DirectX 12 RTX 2070 ARMOR 8G 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/msi-geforce-rtx-2070-rtx-2070-armor-8g/p/N82E16814137366,419
"EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card, 06G-P4-2068-KR, 6GB GDDR6, Dual Fans, Metal Backplate",https://www.newegg.com/evga-geforce-rtx-2060-06g-p4-2068-kr/p/N82E16814487486,342
"EVGA GeForce RTX 2070 SUPER BLACK GAMING, 08G-P4-3071-KR, 8GB GDDR6",https://www.newegg.com/evga-geforce-rtx-2070-super-08g-p4-3071-kr/p/N82E16814487456,534
XFX Radeon RX 580 DirectX 12 RX-580P8DFD6 XXX Edition 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,https://www.newegg.com/xfx-radeon-rx-580-rx-580p8dfd6/p/N82E16814150803,169
MSI GeForce GTX 1660 SUPER DirectX 12 GTX 1660 SUPER GAMING 6GB 192-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,https://www.newegg.com/msi-geforce-gtx-1660-super-gtx-1660-super-gaming/p/N82E16814137556,279
"Sapphire Radeon NITRO+ RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP w/ Backplate SPECIAL EDITION (UEFI), 100411NT+8GSEL",https://www.newegg.com/sapphire-radeon-rx-580-100411nt-8gsel/p/N82E16814202293,385
SAPPHIRE PULSE Radeon RX 5500 XT DirectX 12 100418P8GL 8GB 128-Bit GDDR6 PCI Express 4.0 ATX Video Card,https://www.newegg.com/sapphire-radeon-rx-5500-xt-100418p8gl/p/N82E16814202360,209
"EVGA GeForce RTX 2080 SUPER FTW3 ULTRA GAMING Video Card, 08G-P4-3287-KR, 8GB GDDR6, iCX2 Technology, RGB LED, Metal Backplate",https://www.newegg.com/evga-geforce-rtx-2080-super-08g-p4-3287-kr/p/N82E16814487466,843
NVIDIA QUADRO NVS 450 PCIE VIDEO CARD NVS450 512MB 4 MONITORS,https://www.newegg.com/p/1FT-0004-00154,159
GIGABYTE GeForce GTX 1660 SUPER DirectX 12 GV-N166SGAMING-6GD 6GB 192-Bit GDDR6 PCI Express 3.0 x16 ATX Video Card,https://www.newegg.com/gigabyte-geforce-gtx-1660-super-gv-n166sgaming-6gd/p/N82E16814932295,239
