product,product-href,price,mobo-type,chipset
ASUS Z87-PRO LGA 1150 Intel Z87 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/1JW-000C-00841,159,intel,lga-1150
ASUS CS-B LGA 1150 Intel Q87 SATA 6Gb/s USB 3.0 Micro ATX Intel Motherboard,https://www.newegg.com/p/N82E16813132409,204,intel,lga-1150
MSI Z87-GD65 Gaming LGA 1150 Intel Z87 HDMI SATA 6Gb/s USB 3.0 ATX Extreme OC High Performance Triple CFX/ SLI  Intel Motherboard,https://www.newegg.com/p/N82E16813130692,null,intel,lga-1150
GIGABYTE GA-Z97-D3H LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813128713,null,intel,lga-1150
ASUS B85M-G R2.0 LGA 1150 Intel B85 HDMI SATA 6Gb/s USB 3.0 Micro ATX Intel Motherboard,https://www.newegg.com/p/N82E16813132215,279,intel,lga-1150
ASUS Z97-A LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/1JW-000C-00H68,209,intel,lga-1150
MSI B85M-G43 LGA 1150 Intel B85 HDMI SATA 6Gb/s USB 3.0 Micro ATX High Performance CF Intel Motherboard,https://www.newegg.com/p/N82E16813130700,null,intel,lga-1150
"New HP 718775-001 718413-001 ProDesk 400 G1 Motherboard,  LGA 1150, Micro ATX",https://www.newegg.com/p/1JW-000M-015C7,57,intel,lga-1150
GIGABYTE GA-Z97X-UD5H-BK LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813128722,524,intel,lga-1150
ASUS Z87-WS LGA 1150 Intel Z87 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813131998,456,intel,lga-1150
MSI Z97 MPOWER LGA 1150 Intel Z97 HDMI SATA 6Gb/s USB 3.0 ATX Intel Motherboard,https://www.newegg.com/p/N82E16813130766,null,intel,lga-1150
Colorful C.H81A-BTC V20 6 GPU BTC Ethereum litecoin Mining Motherboard Systemboard for Intel H81/LGA1150 Socket Processor DDR3 SATA3.0 for Miner Mining Desktop,https://www.newegg.com/p/1JW-002T-00004,155,intel,lga-1150
