product,product-href,price,mobo-type,chipset
ASRock Fatal1ty X399 Professional Gaming sTR4 AMD X399 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-fatal1ty-x399-professional-gaming/p/N82E16813157784,430,amd,str4
ASUS PRIME X399-A sTR4 AMD X399 SATA 6Gb/s USB 3.1 Extended ATX AMD Motherboard,https://www.newegg.com/asus-prime-x399-a/p/N82E16813119006,396,amd,str4
ASUS ROG Strix X399-E Gaming sTR4 AMD X399 SATA 6Gb/s USB 3.1 Extended ATX AMD Motherboard,https://www.newegg.com/asus-rog-strix-x399-e-gaming/p/N82E16813119026,324,amd,str4
ASRock X399M TAICHI sTR4 AMD X399 SATA 6Gb/s Micro ATX AMD Motherboard,https://www.newegg.com/asrock-x399m-taichi/p/N82E16813157801?&quicklink=true,349,amd,str4
ASUS ROG STRIX X399-E GAMING AMD Socket TR4 Extended ATX Desktop Motherboard B,https://www.newegg.com/asus-rog-strix-x399-e-gaming/p/2MG-000B-00306,299,amd,str4
GIGABYTE X399 Designare EX (rev. 1.0) sTR4 AMD X399 SATA 6Gb/s USB 3.1 ATX AMD Motherboard,https://www.newegg.com/gigabyte-x399-designare-ex/p/N82E16813145044,389,amd,str4
GIGABYTE X399 AORUS PRO sTR4 AMD X399 SATA 6Gb/s USB 3.1 ATX AMD Motherboard,https://www.newegg.com/gigabyte-x399-aorus-pro/p/N82E16813145109,279,amd,str4
MSI MEG X399 CREATION sTR4 AMD X399 SATA 6Gb/s USB 3.1 Extended ATX AMD Motherboard,https://www.newegg.com/msi-meg-x399-creation/p/N82E16813144204,799,amd,str4
ASUS ROG Zenith Extreme Alpha X399 HEDT Gaming Motherboard AMD Threadripper 2 (TR4) EATX DDR4 M.2 10G LAN USB 3.1 Gen2,https://www.newegg.com/asus-rog-zenith-extreme-alpha/p/N82E16813119186,661,amd,str4
ASRock X399 Taichi sTR4 AMD X399 SATA 6Gb/s ATX AMD Motherboard,https://www.newegg.com/asrock-x399-taichi/p/N82E16813157785?&quicklink=true,349,amd,str4
