product,product-href,price
Dell MH596 New Genuine OEM Optiplex PSU GX280 GX520 GX620 320 330 740 745 755 Dimension C521 3100C 5150C XPS 200 210 Desktop ATX Power Supply Unit 280 Watt L280P-01 MH595 RT490 NH429 U9087 F5114,https://www.amazon.com/Genuine-Dell-Optiplex-Dimension-L280P-01/dp/B01MUEWAPA/ref=sr_1_340?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-340&ts_id=1161760,58
Antec EA-500D Earthwatts 500W 20+4Pin 4-Pin 2x PCIe 80 PLUS PFC ATX Power Supply,https://www.amazon.com/Antec-EA-500D-Earthwatts-4-Pin-Supply/dp/B0084EQRKG/ref=sr_1_714?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-714&ts_id=1161760,98
Genuine Enlight 500W PCIe SATA ATX 12V Computer Power Supply for Intel P4 12V/ i5/i7 8pin EPS12V PC.,https://www.amazon.com/Genuine-Enlight%C2%AE-Computer-Supply-EPS12V/dp/B008EE00W2/ref=sr_1_569?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-569&ts_id=1161760,48
"SilverStone Technology 450W SFX Form Factor 80 PLUS BRONZE Power Supply with +12V single rail, Active PFC (ST45SF)",https://www.amazon.com/SilverStone-Technology-Factor-BRONZE-Supply/dp/B003LU6PN2/ref=sr_1_59?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-59&ts_id=1161760,null
"DELL POWEREDGE 2850 700W POWER SUPPLY, 7000814-Y000, CN-0FJ780-15544 REV A01",https://www.amazon.com/POWEREDGE-POWER-SUPPLY-7000814-Y000-CN-0FJ780-15544/dp/B00B872CVE/ref=sr_1_909?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-909&ts_id=1161760,41
"Asixx Power Adapter, Raspberry Pi Charger, US 100-240V Power Supply Adapter Charger Cable Safe for Charging, Fireproof, Durable, Easy to Install for Raspberry Pi 2/B+/ Zero/W(US)",https://www.amazon.com/Asixx-Raspberry-100-240V-Charging-Fireproof/dp/B07F68S1MN/ref=sr_1_888?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-888&ts_id=1161760,null
YEECHUN [Shipping from New York] PSU/GPU Breakout Board (8 Connectors) + 8pcs 16AWG PCI-E 6Pin to 6+2Pin Cables (27.5Inch) Power Adapter Board for HP 1200w/750w GPU Open Rig Mining Ethereum ZEC ETH,https://www.amazon.com/YEECHUN-Shipping-Breakout-Connectors-27-5Inch/dp/B077YXDJ8B/ref=sr_1_810?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-810&ts_id=1161760,31
XH-M229 Desktop Computer Chassis Power Supply ATX Transfer Board Power Take Off Board Power Output Terminal Module 24Pin,https://www.amazon.com/XH-M229-Desktop-Computer-Transfer-Terminal/dp/B07SV4KZ4B/ref=sr_1_110?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-110&ts_id=1161760,7
Genuine PS-4241-01 LiteOn 240-Watt 14-Pin 4-Pin SFF Switching Power Supply Small Form Factor PSU 36200108 0A37796 54Y8849 VJ6Y6 EC 290628,https://www.amazon.com/Genuine-PS-4241-01-240-Watt-Switching-36200108/dp/B07G9LZZ5S/ref=sr_1_480?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-480&ts_id=1161760,49
"APEVIA VENUS500W 500W ATX Power Supply with Auto-Thermally Controlled 120mm Fan, 115/230V Switch, All Protections",https://www.amazon.com/APEVIA-VENUS500W-Auto-Thermally-Controlled-Protections/dp/B07V9XNFW6/ref=sr_1_65?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Power+Supplies&qid=1594437543&s=pc&sr=1-65&ts_id=1161760,25
