product,product-href,price
G.Skill Ripjaws V Series 32GB (2 x 16GB) 288-Pin SDRAM DDR4 2666 (PC4 21300) F4-2666C15D-32GVR,https://www.amazon.com/G-Skill-Ripjaws-288-Pin-SDRAM-F4-2666C15D-32GVR/dp/B01A10WTGQ/ref=sr_1_288?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-288&ts_id=172500,null
HyperX Predator Black 8GB 4133MHz DDR4 CL19 DIMM XMP Desktop PC Memory (HX441C19PB3/8),https://www.amazon.com/HyperX-Predator-4133MHz-Desktop-HX441C19PB3/dp/B07GN78D7F/ref=sr_1_90?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-90&ts_id=172500,null
32GB (4x8GB) Memory RAM Compatible with Dell Optiplex 7020 MT/SFF Desktop by CMS C7,https://www.amazon.com/4x8GB-Memory-Compatible-Optiplex-desktop/dp/B072YR6MP5/ref=sr_1_917?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-917&ts_id=172500,127
PNY 32GB DDR4 2666MHz Notebook Memory – (MN32GSD42666),https://www.amazon.com/PNY-32GB-2666MHz-Notebook-Memory/dp/B07YNG969Y/ref=sr_1_151?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-151&ts_id=172500,124
16GB (1x16GB) DDR4-2666MHz PC4-21300 Non-ECC UDIMM 2Rx8 1.2V Unbuffered Memory for Desktop PC,https://www.amazon.com/DDR4-2666MHz-PC4-21300-NON-ECC-Unbuffered-Desktop/dp/B07D43X83W/ref=sr_1_647?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-647&ts_id=172500,63
"16GB 1X16GB Memory RAM Compatible with Lenovo IdeaPad S145 (15) AMD Series, S145 (14) Intel Series, S145-15IWL, S145-14IWL, S145-15IKB by CMS C107",https://www.amazon.com/Memory-Compatible-S145-15IWL-S145-14IWL-S145-15IKB/dp/B0825D3VGJ/ref=sr_1_147?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-147&ts_id=172500,67
16GB (1X16GB) Memory Ram Compatible with Lenovo ThinkPad T490 by CMS c107,https://www.amazon.com/1X16GB-Memory-Compatible-ThinkPad-T490/dp/B088J4DRMQ/ref=sr_1_942?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-942&ts_id=172500,67
A-Tech 8GB (2 x 4GB) DDR3 1066MHz PC3-8500 Desktop RAM Kit | Non-ECC Unbuffered DIMM 1.5V 240-Pin Memory Upgrade Modules,https://www.amazon.com/PC3-8500-DESKTOP-Modules-240-pin-Tech/dp/B00C53CX3M/ref=sr_1_149?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-149&ts_id=172500,38
Corsair Vengeance LPX 16GB (2 X 8GB) DDR4 3600 (PC4-28800) C18 1.35V Desktop Memory - Black,https://www.amazon.com/Corsair-Vengeance-PC4-28800-Desktop-Memory/dp/B07RM39V5F/ref=sr_1_28?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-28&ts_id=172500,79
Corsair Vengeance RGB Pro 32GB (2x16GB) DDR4 3200 (PC4-25600) C16 AMD Optimized Memory – Black,https://www.amazon.com/Corsair-Vengeance-2x16GB-PC4-25600-Optimized/dp/B07TB47MN4/ref=sr_1_940?_encoding=UTF8&c=ts&dchild=1&keywords=Computer+Memory&qid=1594437592&s=pc&sr=1-940&ts_id=172500,169
