product,product-href,price
"WD Red 4TB NAS Hard Disk Drive - 5400 RPM Class SATA 6Gb/s, CMR, 64MB Cache, 3.5 Inch - WD40EFRX",https://www.newegg.com/red-wd40efrx-4tb/p/N82E16822236599,104
Toshiba 10TB Enterprise HDD 7200 RPM 512e SATA 6.0Gb/s 256MB Cache 3.5inch - MG06ACA10TE,https://www.newegg.com/p/1Z4-000B-004U4,249
"Western Digital Blue WD1600AAJS 160GB 7200 RPM 8MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive",https://www.newegg.com/western-digital-blue-wd1600aajs-160gb/p/N82E16822136075,26
"Western Digital WD VelociRaptor WD3000HLFS 300GB 10000 RPM 16MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive",https://www.newegg.com/western-digital-wd-velociraptor-wd3000hlfs-300gb/p/N82E16822136322,35
"Western Digital Ultrastar 12TB DC HC520 7200 RPM SATA 6.0Gb/s 3.5"" Data Center Internal Hard Drive - 0F30146",https://www.newegg.com/wd-ultrastar-dc-hc520-0f30146-12tb/p/N82E16822234361,297
WD Black 2TB Performance Desktop Hard Disk Drive - 7200 RPM SATA 6Gb/s 64MB Cache 3.5 Inch - WD2003FZEX,https://www.newegg.com/black-wd2003fzex-2tb/p/N82E16822236624,119
"Western Digital WD RE4 WD5003ABYX 500GB 7200 RPM 64MB Cache SATA 3.0Gb/s 3.5"" Internal Hard Drive Bare Drive",https://www.newegg.com/western-digital-wd-re4-wd5003abyx-500gb/p/N82E16822136697,27
"Seagate BarraCuda ST6000DM003 6TB 5400 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",https://www.newegg.com/seagate-barracuda-st6000dm003-6tb/p/N82E16822183794,133
"WD AV-GP WD40EURX 4TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" AV Video Internal Hard Drive Bare Drive",https://www.newegg.com/av-gp-wd40eurx-4tb/p/N82E16822236634,142
WD Gold 14TB Enterprise Class Hard Disk Drive - 7200 RPM Class SATA 6Gb/s 512MB Cache 3.5 Inch - WD141KRYZ,https://www.newegg.com/gold-wd141kryz-14tb/p/N82E16822234400,459
"Seagate SkyHawk ST12000VX0008 12TB 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive",https://www.newegg.com/seagate-skyhawk-st12000vx0008-12tb/p/N82E16822184761,415
"WL 4TB 64MB Cache 5400RPM SATA III (6.0Gb/s) 3.5"" Internal Desktop Hard Drive (PC, NAS & CCTV DVR) - w/ 1 Year Warranty",https://www.newegg.com/p/1Z4-006T-00022,68
"Seagate BarraCuda ST4000DM004 4TB 5400 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Hard Drives Bare Drive - OEM",https://www.newegg.com/seagate-barracuda-st4000dm004-4tb/p/N82E16822179299,94
WD Blue 4TB Desktop Hard Disk Drive - 5400 RPM SATA 6Gb/s 64MB Cache 3.5 Inch - WD40EZRZ,https://www.newegg.com/blue-wd40ezrz-4tb/p/N82E16822235011,89
Dell 400-AJQP 1.8TB 10K RPM SAS 12Gbps 512e 2.5in 13G Hot-plug Hard Drive | Enterprise HDD | Compatible with EMC PowerEdge SFF T640 R330 R430 R630 R730 R730xd T430 T630 PowerVault ME4024 ME424,https://www.newegg.com/dell-400-ajqp-1-8tb/p/1Z4-000J-02AZ0,189
"WD Red 8TB NAS Internal Hard Drive - 5400 RPM Class, SATA 6Gb/s, CMR, 256MB Cache, 3.5"" - WD80EFAX",https://www.newegg.com/red-wd80efax-8tb/p/1Z4-0002-00B89,202
"Seagate Exos X16 ST10000NM002G 10TB 7200 RPM 256MB Cache SAS 12Gb/s 3.5"" Hard Drives, 512E/4KN",https://www.newegg.com/seagate-exos-x16-st10000nm002g-10tb/p/N82E16822184843,285
"WD Red 10TB NAS Internal Hard Drive - 5400 RPM Class, SATA 6Gb/s, CMR, 256MB Cache, 3.5"" - WD101EFAX",https://www.newegg.com/red-wd101efax-10tb/p/N82E16822234407,261
"WD Red 6TB NAS Internal Hard Drive - 5400 RPM Class, SATA 6Gb/s, SMR, 256MB Cache, 3.5"" - WD60EFAX",https://www.newegg.com/red-wd60efax-6tb/p/1Z4-0002-00MY7,149
"HGST MegaScale DC 4000.B HMS5C4040ALE640 (0F19847) 4TB Coolspin 64MB Cache SATA III 6.0Gb/s 3.5"" Enterprise Hard Drive - w/3 Year Warranty",https://www.newegg.com/p/1Z4-001J-00206,117
Seagate Constellation ES.3 HDD ST3000NM0023 3TB 7200 RPM | SAS 6Gb/s Interface | 128MB Cache 3.5-Inch Enterprise Internal Hard Disk Drive,https://www.newegg.com/seagate-constellation-es-3-st3000nm0023-3tb/p/N82E16822178299,54
"Seagate BarraCuda Pro ST12000DM0007 12TB 7200 RPM 256MB Cache SATA 6.0Gb/s 3.5"" Internal Hard Drive Bare Drive",https://www.newegg.com/seagate-barracuda-pro-st12000dm0007-12tb/p/N82E16822172024,450
"WL 3TB IntelliPower 64MB Cache SATA 6.0Gb/s 3.5"" Internal Desktop Hard Drive (For PC/Mac/DVR) w/1 Year Warranty",https://www.newegg.com/aftermarket-generic-wl3000gsa6454-3tb/p/1Z4-002R-00013,46
Seagate Enterprise Capacity 3.5'' HDD 2TB 7200 RPM 512n SAS 12Gb/s 128MB Cache Internal Hard Drive ST2000NM0045,https://www.newegg.com/seagate-enterprise-capacity-3-5-st2000nm0045-2tb/p/N82E16822179041,144
